| date | open | last | high | low | volume | amount | exchange |
| 2025-10-13 | 8861.78 | 8939.95 | 9002.13 | 8857.9 | 132664 | 43646510000 | 1.26 |
| 2025-10-10 | 9269.43 | 9123.5 | 9273.75 | 9103.86 | 122727 | 46534160000 | 1.16 |
| 2025-10-09 | 9269.9 | 9311.89 | 9311.89 | 9145.51 | 139215 | 46848140000 | 1.32 |
| 2025-09-30 | 9112 | 9267.08 | 9268.96 | 9105.77 | 101114 | 40735270000 | 0.96 |
| 2025-09-29 | 9085.69 | 9107.75 | 9130.7 | 8935.57 | 113015 | 40706630000 | 1.07 |
| 2025-09-26 | 9174.86 | 9089.64 | 9174.86 | 9089.64 | 101242 | 39851370000 | 0.96 |
| 2025-09-25 | 9218.57 | 9263.2 | 9295.56 | 9194.02 | 110232 | 45872600000 | 1.05 |
| 2025-09-24 | 9040.19 | 9180.31 | 9192.88 | 9040.19 | 110501 | 39945740000 | 1.05 |
| 2025-09-23 | 9185.67 | 9049.86 | 9189.72 | 8918.44 | 142482 | 48019810000 | 1.35 |
| 2025-09-22 | 9235.85 | 9201.66 | 9344.82 | 9140.09 | 113757 | 40599050000 | 1.08 |
| 2025-09-19 | 9307.93 | 9207.88 | 9351.21 | 9151.38 | 132807 | 44760100000 | 1.26 |
| 2025-09-18 | 9358.97 | 9310.63 | 9477.21 | 9222.7 | 184749 | 63247660000 | 1.75 |
| 2025-09-17 | 9325.62 | 9341.59 | 9374.72 | 9247.79 | 112442 | 42729120000 | 1.07 |
| 2025-09-16 | 9336.06 | 9321.83 | 9347.28 | 9226.51 | 119739 | 40647840000 | 1.14 |
| 2025-09-15 | 9335.53 | 9338.41 | 9401.08 | 9314.21 | 131794 | 49919460000 | 1.26 |
| 2025-09-12 | 9363.99 | 9336.78 | 9417.11 | 9264.74 | 150581 | 56424480000 | 1.43 |
| 2025-09-11 | 9094.59 | 9337.43 | 9337.54 | 8967.7 | 190822 | 74243480000 | 1.82 |
| 2025-09-10 | 9403.85 | 9345.63 | 9488.04 | 9310.3 | 114221 | 43696150000 | 1.09 |
